prompt_index,prompt,rank,event_id
1,"I want to watch a movie outdoors tonight",1,1ef66e0b-4da0-c445-72c0-6211f390faae
1,"I want to watch a movie outdoors tonight",2,27029a54-9b9f-5119-3c05-ea70fb25cf1a
1,"I want to watch a movie outdoors tonight",3,fd242173-cd37-577c-dc25-15bbd5ce0e32
1,"I want to watch a movie outdoors tonight",4,e58b9522-ac35-ce62-bf8a-e9d9e3268b40
1,"I want to watch a movie outdoors tonight",5,6483e074-b3f5-4f37-7844-6ed1ca8330d6
1,"I want to watch a movie outdoors tonight",6,865b15bf-64fd-f5e7-2bfd-5476b2dabc49
1,"I want to watch a movie outdoors tonight",7,90d48d80-14ea-f66a-efed-6edf36762240
1,"I want to watch a movie outdoors tonight",8,46240cc1-8f8c-3aff-157c-2553cbb7b95b
1,"I want to watch a movie outdoors tonight",9,6d7996c5-e228-7b72-461e-7e7c39bf7160
1,"I want to watch a movie outdoors tonight",10,0537314a-7538-c5ac-dbc4-ef51b2a94869
1,"I want to watch a movie outdoors tonight",11,35e42701-0e60-7c96-f2ae-df55a809efdd
1,"I want to watch a movie outdoors tonight",12,f7ed64ee-ab19-263c-c595-dbdc10174968
1,"I want to watch a movie outdoors tonight",13,3224ea40-526a-cd10-83de-7bc7c48642eb
1,"I want to watch a movie outdoors tonight",14,abfe5a50-98a4-445c-8afa-5e20bded568c
1,"I want to watch a movie outdoors tonight",15,4d6add26-da1e-323d-ef23-a5f303c9600d
1,"I want to watch a movie outdoors tonight",16,f5bb56f8-4363-9bf6-ae2d-82b1ddb01930
1,"I want to watch a movie outdoors tonight",17,e0392fa4-81f0-8696-1192-ba3c8d950559
1,"I want to watch a movie outdoors tonight",18,a91a53ee-7997-9bdc-bfdf-2afd17d71c92
1,"I want to watch a movie outdoors tonight",19,8fee813c-e691-b1c7-0fbc-066d0e733ebb
1,"I want to watch a movie outdoors tonight",20,ed370fba-9525-2c15-141d-8aa30fd100c8
1,"I want to watch a movie outdoors tonight",21,f2cc6e39-8cc9-41d2-28e5-be712f0559eb
1,"I want to watch a movie outdoors tonight",22,2b23d490-edd1-4a4f-2e00-ce70dc60689a
1,"I want to watch a movie outdoors tonight",23,0eba4583-43a2-cfb2-4a58-6db7160b5038
1,"I want to watch a movie outdoors tonight",24,a91c0b37-35eb-4591-fe64-23c39b471965
1,"I want to watch a movie outdoors tonight",25,e86c0d50-aae8-a5f9-d729-bfc0eeb3acb6
1,"I want to watch a movie outdoors tonight",26,acc56d70-3f69-4388-7377-d3e11ab3658f
1,"I want to watch a movie outdoors tonight",27,e89b1943-4fd8-2625-353f-3f6bbc614a0e
1,"I want to watch a movie outdoors tonight",28,cc0c5e23-50cf-f7c2-d430-babca714b2dc
1,"I want to watch a movie outdoors tonight",29,b8563cbb-83f3-14ef-daf7-16743d25f211
1,"I want to watch a movie outdoors tonight",30,9d339de4-da88-0a8c-daa3-b81c68fd93dc
1,"I want to watch a movie outdoors tonight",31,499984ba-56ac-5503-06a9-8c720ab3a0b5
1,"I want to watch a movie outdoors tonight",32,142d640b-38fe-e9f6-9739-a72f29f0d4c5
1,"I want to watch a movie outdoors tonight",33,c393f98c-a6fa-9393-b2a8-7d8a04ce1737
1,"I want to watch a movie outdoors tonight",34,cb12a15b-f521-8ae6-72bd-0bc8284f8556
1,"I want to watch a movie outdoors tonight",35,22e6532a-691f-c082-4cc4-3592783aee62
1,"I want to watch a movie outdoors tonight",36,c684d95d-b726-2b01-8a46-f9a0e20f2035
1,"I want to watch a movie outdoors tonight",37,9f2a405d-92c6-3d90-151a-e71186647f95
1,"I want to watch a movie outdoors tonight",38,728ae5d1-3b04-57a6-c146-9b3970a63262
1,"I want to watch a movie outdoors tonight",39,66366f45-7040-1f76-6935-82f18ce0f893
1,"I want to watch a movie outdoors tonight",40,d8e74e10-db6d-b27b-52ad-9fe764c24d04
1,"I want to watch a movie outdoors tonight",41,af9c5271-0501-83b1-c93f-45a91c3eb973
1,"I want to watch a movie outdoors tonight",42,fee6b9cc-af04-53e2-5da3-a30957c3b5bf
1,"I want to watch a movie outdoors tonight",43,38f1c869-6fc9-a7be-0cc0-3d9fcb97579c
1,"I want to watch a movie outdoors tonight",44,5d084450-2dc6-1812-552c-6b2658971f76
1,"I want to watch a movie outdoors tonight",45,df699610-4e77-1cd8-bcc9-d37dc59bcb33
1,"I want to watch a movie outdoors tonight",46,3cbca495-ac93-f11a-a78f-720794af29b7
1,"I want to watch a movie outdoors tonight",47,ce493a09-de96-e81d-0c8f-d1bad76a9c4b
1,"I want to watch a movie outdoors tonight",48,7cc03fa6-ef47-95b3-103b-7b9a5e877c1a
1,"I want to watch a movie outdoors tonight",49,4a641acd-3948-b9dc-28ba-0800ddfdea5d
1,"I want to watch a movie outdoors tonight",50,a89838bf-dfd1-4063-304c-0b3e84aa5190
